tissue;class;class_marker;type_marker;full_name;common_name;subcluster;tissue_subcluster
FC;NEURON;Slc17a7;Syt6-Slc24a2;Neuron.Slc17a7.Syt6-Slc24a2;Deep layer pyramidal cells;3-6;FC_3-6
FC;NEURON;Slc17a7;Syt6-Lypd1;Neuron.Slc17a7.Syt6-Lypd1;Deep layer pyramidal cells--medial-lateral spatial gradient;3-7;FC_3-7
FC;NEURON;Slc17a7-Slc17a6;Syt6-Nnat;NeuronSlc17a7-Slc17a6.Syt6-Nnat;Deep layer pyramidal cells--medial cortex;3-8;FC_3-8
FC;NEURON;Slc17a7;Syt6-Sema3c;Neuron.Slc17a7.Syt6-Sema3c;Deep layer pyramidal cells;3-9;FC_3-9
FC;NEURON;Slc17a6-Slc17a7-Slc17a8;Fezf2.Slc17a8;Neuron.Slc17a6-Slc17a7-Slc17a8.Fezf2.Slc17a8;Deep layer pyramidal cells-Layer 5b;4-1;FC_4-1
FC;NEURON;Slc17a6-Slc17a7;Fezf2.3110035E14Rik;Neuron.Slc17a6-Slc17a7.Fezf2.3110035E14Rik;Deep layer pyramidal cells-Layer 5b;4-2;FC_4-2
FC;NEURON;Slc17a6-Slc17a7;Nr4a2;Neuron.Slc17a6-Slc17a7.Nr4a2;Claustrum;5-1;FC_5-1
FC;NEURON;Slc17a7;Nptxr-Calb1;Neuron.Slc17a7.Nptxr-Calb1;Superficial layer pyramidal cells--Layer 2/3;6-1;FC_6-1
FC;NEURON;Slc17a7;Nptxr-Ndst4;Neuron.Slc17a7.Nptxr-Ndst4;Superficial layer pyramidal cells--dorsal endopiriform nucleus or piriform cortex;6-2;FC_6-2
FC;NEURON;Slc17a7-Slc17a6;Nptxr-Rorb;Neuron.Slc17a7-Slc17a6.Nptxr-Rorb;Deep layer pyramidal cells--Layer 5a;6-3;FC_6-3
FC;NEURON;Slc17a7;Nptxr-Deptor;Neuron.Slc17a7.Nptxr-Deptor;Deep layer pyramidal cells--Layer 5a;6-4;FC_6-4
